"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Weißenfels, Max-Planck-Str","Max-Planck-Str. 3","06667","Weißenfels","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Weißenfels, Drei Wege","Drei Wege 5","06667","Weißenfels-Borau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Waldheim","Hauptstr. 107","04736","Waldheim","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dippoldiswalde","Industriering 2","01744","Dippoldiswalde","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Freital, Weißeritz Park","An der Spinnerei 8","01705","Freital","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Döbeln","Schillerstr. 6","04720","Döbeln","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Freital, Wilsdruffer Str.","Wilsdruffer Str. 52","01705","Freital","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Grimma","Gerichtswiesen 2","04668","Grimma","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Großpösna, Pösna Park","Sepp-Verscht-Str. 1","04463","Großpösna","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Kleinpestitz","Kohlenstr. 18","01189","Dresden","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Großzschocher","Anton-Zickmantel-Str. 1","04249","Leipzig-Großzschocher","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Nickern, Kaufpark","Dohnaer Str. 246","01239","Dresden-Lockwitz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Naußlitz","Kesselsdorfer Str. 81","01159","Dresden-Naußlitz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Neu-Omsewitz","Harthaer Str. 3","01169","Dresden Gorbitz-Nord/Neu-Omsewitz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Pirna-Sonnenstein","Struppener Str. 11 A","01796","Pirna","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Strehlen, O.D.C.","Reicker Str. 60","01219","Dresden-Strehlen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Schönau","Kiewer Str. 30","04205","Leipzig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Pirna-Zatzschke","Lohmener Str. 12 c","01796","Pirna","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Altlindenau","Lindenauer Markt 2","04177","Leipzig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Striesen-West","Borsbergstr. 35","01309","Dresden-Striesen-West","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Reudnitz-Thonberg","Dresdner Str. 80","04317","Leipzig-Reudnitz-Thonberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Merseburg","Querfurter Str. 16","06217","Merseburg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Meißen Schützestr.","Schützestr. 1","01662","Meißen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Kaditz, Elbepark","Peschelstr. 33","01139","Dresden","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Radebeul","Weintraubenstr. 31","01445","Radebeul","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Paunsdorf","Paunsdorfer Allee 1","04329","Leipzig-Engelsdorf","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Gohlis-Süd","Georg-Schumann-Str. 105","04155","Leipzig-Gohlis-Süd","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Coswig","Salzstr. 16 A","01640","Coswig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Möckern","Georg-Schumann-Str. 290","04159","Leipzig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Meißen, Elbe Center","Niederauer Str. 43","01662","Meißen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Leipzig-Heiterblick","Torgauer Str. 279","04347","Leipzig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Weißig","An der Prießnitzaue 3","01328","Dresden-Weißig","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Taucha","Portitzer Str. 34","04425","Taucha","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Halle (Saale)-Südst, Cent.","Südstadtring 90","06128","Halle (Saale)","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Wurzen","Collmener Str. 12","04808","Wurzen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dresden-Weixdorf","Hohenbusch-Markt 1","01108","Dresden","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Sangerhausen","Schützenplatz 2","06526","Sangerhausen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Halle (Saale)-Süd. Neust.","Zollrain 9","06124","Halle (Saale)","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Riesa, Elbgalerie Riesa","Hauptstr. 74-78","01587","Riesa-Mergendorf","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Neustadt in Sachsen","Wilhelm-Kaulisch-Str. 26","01844","Neustadt in Sachsen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Großenhain","Riesaer Str. 54","01558","Großenhain","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Lutherstadt Eisleben","Hallesche Str. 77","06295","Lutherstadt Eisleben","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Halle (Saale)-Industriegeb","Magdeburger Chaussee 23","06118","Halle (Saale)-Trotha","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Großröhrsdorf","Pulsnitzer Str. 16","01900","Großröhrsdorf","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Delitzsch","Sachsenstr. 8","04509","Delitzsch","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Brehna","Thiemendorfer Mark 3","06796","Sandersdorf-Brehna","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zittau Äußere Weberstr.","Äußere Weberstr. 87","02763","Zittau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zittau, Chr.-Keimann-Str.","Christian-Keimann-Str. 44","02763","Zittau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Ebersbach-Neugersdorf","Johann-Andreas-Schubert-Str. 11","02730","Ebersbach-Neugersdorf","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Bitterfeld-Wolfen","Bismarckstr. 39","06749","Bitterfeld-Wolfen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Torgau, Turnierplatzweg","Turnierplatzweg 1","04860","Torgau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Kamenz, Willy-Muhle-Str.","Willy-Muhle-Str. 25","01917","Kamenz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Torgau, Außenring","Außenring 1","04860","Torgau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Kamenz, An der Windmühle","An der Windmühle 2","01917","Kamenz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Löbau","Rumburger Str. 9","02708","Löbau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Bautzen","Gesundbrunnenring 62","02625","Bautzen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Bitterfeld-Wolfen","Wittener Str. 28","06766","Bitterfeld-Wolfen-Wolfen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Aschersleben","Hoymer Chaussee 108","06449","Aschersleben","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Köthen","Merziener Str. 20","06366","Köthen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Bernburg","Zepziger Weg 6","06406","Bernburg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Quedlinburg","Badeborner Weg 2","06484","Quedlinburg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dessau-Roßlau","Zunftstr. 15","06847","Dessau-Roßlau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Senftenberg","Briesker Str. 4","01968","Senftenberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dessau-Roßlau, Mildensee","Am Eichengarten 2","06842","Dessau-Roßlau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Görlitz-Weinhübel","Zittauer Str. 120","02827","Görlitz-Weinhübel","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Herzberg (Elster)","Osterodaer Str. 12","04916","Herzberg (Elster)","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Dessau-Roßlau, Wolfgangstr","Wolfgangstr. 14","06844","Dessau-Roßlau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Hoyerswerda","Str. E 9","02977","Hoyerswerda","https://www.meinprospekt.de/filialen/kaufland/0"
