OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
12884,xka_mrk_830,6866,0,360,100350000,100380050,"3,5 + 0","3,8 + 50",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12885,xka_mrk_830,4850,0,1804,102630050,102810055,"26,3 + 50","28,1 + 55",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12886,xka_mrk_830,5733,0,204,101300012,101320016,"13,0 + 12","13,2 + 16",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Traunstein - Ruhpolding,eingleisig,Nebenbahn, , ,,
12887,xka_mrk_830,3703,0,183,100000017,100020000,"0,0 + 17","0,2 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Dutenhofen - Gießen-Bergwald,zweigleisig,Hauptbahn, , ,,
12888,xka_mrk_830,1760,0,29036,113020043,115920079,"130,2 + 43","159,2 + 79",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12889,xka_mrk_830,6866,0,1206,100380050,100500056,"3,8 + 50","5,0 + 56",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12890,xka_mrk_830,6307,2,1086,99969907,100070000,"-0,3 + -92","0,7 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Weimar - Gera Hbf,zweigleisig,Hauptbahn, , ,,
12891,xka_mrk_830,6300,0,6820,100630080,101320000,6.3 +    80,"13,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,zweigleisig,Hauptbahn,Überlängenende, ,,
12892,xka_mrk_830,2730,0,15486,100090000,101630084,"0,9 + 0","16,3 + 84",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Gruiten - Köln Neurather Ring,zweigleisig,Hauptbahn, , ,,
12893,xka_mrk_830,4850,0,2104,102810055,103020059,"28,1 + 55","30,2 + 59",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12894,xka_mrk_830,6300,0,900,101320000,101410000,"13,2 + 0","14,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,zweigleisig,Hauptbahn, , ,,
12895,xka_mrk_830,6866,0,4211,100500056,100920067,"5,0 + 56","9,2 + 67",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12896,xka_mrk_830,3703,0,2800,100020000,100300000,"0,2 + 0","3,0 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Dutenhofen - Gießen-Bergwald,zweigleisig,Hauptbahn, , ,,
12897,xka_mrk_830,6307,2,950,100070000,100160050,"0,7 + 0","1,6 + 50",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Weimar - Gera Hbf,zweigleisig,Hauptbahn, , ,,
12898,xka_mrk_830,1760,0,29036,113020043,115920079,"130,2 + 43","159,2 + 79",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12899,xka_mrk_830,6300,0,185,101410000,101420085,"14,1 + 0","14,2 + 85",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,zweigleisig,Hauptbahn, , ,,
12900,xka_mrk_830,5734,0,229,100000007,100020036,"0,0 + 7","0,2 + 36",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12901,xka_mrk_830,2730,0,15486,100090000,101630084,"0,9 + 0","16,3 + 84",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Gruiten - Köln Neurather Ring,zweigleisig,Hauptbahn, , ,,
12902,xka_mrk_830,4850,0,140,103020059,103030099,"30,2 + 59","30,3 + 99",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12903,xka_mrk_830,3703,0,500,100300000,100350000,"3,0 + 0","3,5 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Dutenhofen - Gießen-Bergwald,zweigleisig,Hauptbahn, , ,,
12904,xka_mrk_830,2730,0,1915,101630084,101830000,"16,3 + 84","18,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Gruiten - Köln Neurather Ring,zweigleisig,Hauptbahn, , ,,
12905,xka_mrk_830,6300,0,6915,101420085,102120000,"14,2 + 85","21,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, , ,,
12906,xka_mrk_830,6866,0,1403,100920067,101060070,"9,2 + 67","10,6 + 70",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12907,xka_mrk_830,1760,0,29036,113020043,115920079,"130,2 + 43","159,2 + 79",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12908,xka_mrk_830,6307,2,44,100160050,100160094,"1,6 + 50","1,6 + 94",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Weimar - Gera Hbf,zweigleisig,Hauptbahn, , ,,
12909,xka_mrk_830,4850,0,181,103030099,103050080,"30,3 + 99","30,5 + 80",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12910,xka_mrk_830,6300,0,4500,102120000,102570000,"21,2 + 0","25,7 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, , ,,
12911,xka_mrk_830,5734,0,140,100020036,100030076,"0,2 + 36","0,3 + 76",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12912,xka_mrk_830,6866,0,3530,101060070,101420000,"10,6 + 70","14,2 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12913,xka_mrk_830,2730,0,8200,101830000,102650000,"18,3 + 0","26,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Gruiten - Köln Neurather Ring,zweigleisig,Hauptbahn, , ,,
12914,xka_mrk_830,3703,0,1134,100350000,100460034,"3,5 + 0","4,6 + 34",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Dutenhofen - Gießen-Bergwald,zweigleisig,Hauptbahn, , ,,
12915,xka_mrk_830,6300,0,1800,102570000,102750000,"25,7 + 0","27,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, , ,,
12916,xka_mrk_830,4850,0,2820,103050080,103340000,"30,5 + 80","33,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12917,xka_mrk_830,1760,0,2150,115920079,116140029,"159,2 + 79","161,4 + 29",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12918,xka_mrk_830,6866,0,930,101420000,101510030,"14,2 + 0","15,1 + 30",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12919,xka_mrk_830,5734,0,1358,100030076,100170034,"0,3 + 76","1,7 + 34",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12920,xka_mrk_830,3703,0,183,100460034,100480017,"4,6 + 34","4,8 + 17",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Dutenhofen - Gießen-Bergwald,eingleisig,Hauptbahn, , ,,
12921,xka_mrk_830,2731,0,318,110410082,110450000,"104,1 + 82","104,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Gruiten - Abzw Wuppert. Linden,zweigleisig,Hauptbahn, , ,,
12922,xka_mrk_830,6300,0,900,102750000,102840000,"27,5 + 0","28,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, , ,,
12923,xka_mrk_830,6866,0,2270,101510030,101740000,"15,1 + 30","17,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12924,xka_mrk_830,3704,0,1370,99989968,100120039,"-0,1 + -31","1,2 + 39",Oberleitung,Gz-Bahn,bis 50 km/h,"Gießen, W178 - GI-Bergw., W254",eingleisig,Hauptbahn, , ,,
12925,xka_mrk_830,2731,0,1586,110450000,110600086,"104,5 + 0","106,0 + 86",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Gruiten - Abzw Wuppert. Linden,zweigleisig,Hauptbahn, , ,,
12926,xka_mrk_830,1760,0,671,116140029,116210000,"161,4 + 29","162,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12927,xka_mrk_830,4850,0,1000,103340000,103440000,"33,4 + 0","34,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12928,xka_mrk_830,6325,2,1349,111250044,111390000,"112,5 + 44","113,9 + 0",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Neustrelitz - Warnemünde,zweigleisig,Hauptbahn, , ,,
12929,xka_mrk_830,6300,0,8200,102840000,103660000,"28,4 + 0",36.6 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, ,Überlängenanfang,,
12930,xka_mrk_830,4850,0,8008,103440000,104240000,"34,4 + 0","42,4 + 0",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12931,xka_mrk_830,1760,0,14300,116210000,117640000,"162,1 + 0","176,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
12932,xka_mrk_830,3710,0,76,99969909,99969985,"-0,3 + -90","-0,3 + -14",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wetzlar - Koblenz,eingleisig,Hauptbahn, , ,,
12933,xka_mrk_830,5734,0,210,100170034,100190044,"1,7 + 34","1,9 + 44",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12934,xka_mrk_830,6866,0,1624,101740000,101900024,"17,4 + 0","19,0 + 24",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Halberstadt - Blankenburg,eingleisig,Nebenbahn, , ,,
12935,xka_mrk_830,6300,0,8200,102840000,103660000,"28,4 + 0",36.6 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn, ,Überlängenanfang,,
12936,xka_mrk_830,1760,0,2800,117640000,117920000,"176,4 + 0","179,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Hannover - Soest,zweigleisig,Hauptbahn, , ,,
