OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
1,xka_mrk_830,6340,2,1195,110810005,110930000,"108,1 + 5","109,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
2,xka_mrk_830,6343,2,393,117070037,117110030,"170,7 + 37","171,1 + 30",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, , ,,
3,xka_mrk_830,6343,2,470,117110030,117160000,"171,1 + 30","171,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, , ,,
4,xka_mrk_830,6343,2,200,117160000,117180000,"171,6 + 0",171.8 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, ,Überlängenanfang,,
5,xka_mrk_830,6343,2,196,117180000,117190075,171.8 +     0,171.9 +    75,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
6,xka_mrk_830,6343,2,700,117190075,117260075,171.9 +    75,"172,6 + 75",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn,Überlängenende, ,,
7,xka_mrk_830,6362,2,245,100260055,100290000,"2,6 + 55","2,9 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Lpz Strw 6361/6362 - Hof,zweigleisig,Hauptbahn, , ,,
8,xka_mrk_830,6363,2,106,110480094,110500000,"104,8 + 94","105,0 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Leipzig Hbf - Dresden-Neustadt,zweigleisig,Hauptbahn, , ,,
9,xka_mrk_830,6363,2,1222,111520000,111640022,"115,2 + 0","116,4 + 22",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Dresden-Neustadt,zweigleisig,Hauptbahn, , ,,
10,xka_mrk_830,6367,2,7,99969945,99969952,"-0,3 + -54","-0,3 + -47",Oberleitung,Pz/Gz-Bahn, ,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, , ,,
11,xka_mrk_830,6367,2,678,99969952,100030031,"-0,3 + -47",0.3 +    31,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
12,xka_mrk_830,6367,2,0,100030031,100040000,0.3 +    31,"0,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
13,xka_mrk_830,6367,2,737,100040000,100110037,0.4 +     0,"1,1 + 37",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
14,xka_mrk_830,6367,2,144,100110037,100120081,"1,1 + 37","1,2 + 81",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, , ,,
15,xka_mrk_830,6367,2,1464,103040000,103180064,"30,4 + 0",31.8 +    64,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
16,xka_mrk_830,6367,2,0,103180064,103180082,31.8 +    64,31.8 +    82,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
17,xka_mrk_830,6367,2,453,103180082,103230035,31.8 +    82,"32,3 + 35",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
18,xka_mrk_830,6367,0,54,103230035,103230089,"32,3 + 35","32,3 + 89",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,eingleisig,Hauptbahn, , ,,
19,xka_mrk_830,6403,2,50,108540000,108540050,"85,4 + 0","85,4 + 50",Oberleitung,Pz-Bahn,ab 50 bis 100 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
20,xka_mrk_830,6403,2,585,108540050,108600035,"85,4 + 50",86.0 +    35,Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
21,xka_mrk_830,6403,2,0,108600035,108600048,86.0 +    35,86.0 +    48,Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
22,xka_mrk_830,6403,2,752,108600048,108680000,86.0 +    48,"86,8 + 0",Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
23,xka_mrk_830,6403,2,1463,109470033,109610096,"94,7 + 33","96,1 + 96",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
24,xka_mrk_830,6403,2,261,109610096,109640057,"96,1 + 96","96,4 + 57",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
25,xka_mrk_830,6403,2,1943,109640057,109840000,"96,4 + 57",98.4 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, ,Überlängenanfang,,
26,xka_mrk_830,6403,2,201,109840000,109850085,98.4 +     0,98.5 +    85,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
27,xka_mrk_830,6406,2,753,100800000,100870053,"8,0 + 0",8.7 +    53,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
28,xka_mrk_830,6406,2,47,100870053,100880000,8.7 +    53,8.8 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
29,xka_mrk_830,6406,2,165,100880000,100890065,8.8 +     0,"8,9 + 65",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
30,xka_mrk_830,6406,2,1135,100890065,101010000,"8,9 + 65","10,1 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, , ,,
31,xka_mrk_830,6406,2,500,101010000,101060000,"10,1 + 0",10.6 +     0,Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, ,Überlängenanfang,,
32,xka_mrk_830,6406,2,113,101060000,101070000,10.6 +     0,10.7 +     0,Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
33,xka_mrk_830,6406,2,900,101070000,101160000,10.7 +     0,"11,6 + 0",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn,Überlängenende, ,,
34,xka_mrk_830,6406,2,1018,101880068,101980085,"18,8 + 68","19,8 + 85",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, , ,,
35,xka_mrk_830,6406,2,2315,101980085,102220000,"19,8 + 85","22,2 + 0",Oberleitung,Gz-Bahn,bis 50 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, , ,,
36,xka_mrk_830,6406,2,500,102220000,102270000,"22,2 + 0","22,7 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, , ,,
37,xka_mrk_830,6406,2,100,102270000,102280000,"22,7 + 0",22.8 +     0,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn, ,Überlängenanfang,,
38,xka_mrk_830,6406,2,103,102280000,102290000,22.8 +     0,"22,9 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Schönebeck - Abzw Glindenberg,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
39,xka_mrk_830,6408,2,891,100040073,100130064,"0,4 + 73","1,3 + 64",Oberleitung,Gz-Bahn,bis 50 km/h,Abzw Brücke - Mgd-Rothensee,zweigleisig,Hauptbahn, , ,,
40,xka_mrk_830,6408,2,407,100130064,100170071,"1,3 + 64","1,7 + 71",Oberleitung,Gz-Bahn,bis 50 km/h,Abzw Brücke - Mgd-Rothensee,zweigleisig,Hauptbahn, , ,,
41,xka_mrk_830,6408,0,549,100170071,100230020,"1,7 + 71","2,3 + 20",Oberleitung,Gz-Bahn,bis 50 km/h,Abzw Brücke - Mgd-Rothensee,eingleisig,Hauptbahn, , ,,
42,xka_mrk_830,6411,2,850,104710050,104800000,"47,1 + 50",48.0 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn, ,Überlängenanfang,,
43,xka_mrk_830,6411,2,129,104800000,104810000,48.0 +     0,48.1 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
44,xka_mrk_830,6411,2,246,104810000,104830046,48.1 +     0,"48,3 + 46",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn,Überlängenende, ,,
45,xka_mrk_830,6411,2,1786,104830046,105010032,"48,3 + 46","50,1 + 32",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn, , ,,
46,xka_mrk_830,6411,2,2715,105010032,105280047,"50,1 + 32","52,8 + 47",Oberleitung,Pz/Gz-Bahn,ab 160 bis 200 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn, , ,,
47,xka_mrk_830,6411,2,1151,108000095,108120046,"80,0 + 95","81,2 + 46",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn, , ,,
48,xka_mrk_830,6411,2,7,108120046,108120053,"81,2 + 46","81,2 + 53",Oberleitung,Pz/Gz-Bahn, ,Trebnitz - Leipzig Hbf,zweigleisig,Hauptbahn, , ,,
49,xka_mrk_830,1271,1,400,102160000,102200000,"21,6 + 0","22,0 + 0",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Hamburg Hbf - HH-Neugraben,zweigleisig,Hauptbahn, , ,,
50,xka_mrk_830,1271,1,1058,102200000,102300058,"22,0 + 0","23,0 + 58",Stromschiene,S-Bahn,ab 50 bis 100 km/h,Hamburg Hbf - HH-Neugraben,zweigleisig,Hauptbahn, , ,,
51,xka_mrk_830,1280,1,256,101970044,102000000,"19,7 + 44",20.0 +     0,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn, ,Überlängenanfang,,
52,xka_mrk_830,1280,1,146,102000000,102010046,20.0 +     0,20.1 +    46,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
53,xka_mrk_830,1280,1,610,102010046,102070056,20.1 +    46,"20,7 + 56",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn,Überlängenende, ,,
54,xka_mrk_830,1280,1,950,102070056,102170006,"20,7 + 56","21,7 + 6",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn, , ,,
55,xka_mrk_830,1280,1,1894,102170006,102360000,"21,7 + 6",23.6 +     0,Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn, ,Überlängenanfang,,
56,xka_mrk_830,1280,1,118,102360000,102370018,23.6 +     0,23.7 +    18,Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
57,xka_mrk_830,1280,1,454,102370018,102410072,23.7 +    18,"24,1 + 72",Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn,Überlängenende, ,,
58,xka_mrk_830,1280,1,68,102410072,102420040,"24,1 + 72","24,2 + 40",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn, , ,,
59,xka_mrk_830,1280,1,677,102420040,102490017,"24,2 + 40","24,9 + 17",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Buchholz - HH-Allermöhe,zweigleisig,Hauptbahn, , ,,
60,xka_mrk_830,1284,1,249,101930035,101950084,"19,3 + 35","19,5 + 84",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Stelle - Maschen Rbf, W 1675",zweigleisig,Hauptbahn, , ,,
61,xka_mrk_830,1284,1,727,101950084,102030011,"19,5 + 84","20,3 + 11",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,"Stelle - Maschen Rbf, W 1675",zweigleisig,Hauptbahn, , ,,
62,xka_mrk_830,1401,0,320,99999988,100030009,"-0,0 + -11","0,3 + 9",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,HB-Sebaldsbrück - Bremen Rbf,eingleisig,Hauptbahn, , ,,
63,xka_mrk_830,1401,1,1689,100030009,100200000,"0,3 + 9","2,0 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,HB-Sebaldsbrück - Bremen Rbf,zweigleisig,Hauptbahn, , ,,
64,xka_mrk_830,1401,1,208,100200000,100220008,"2,0 + 0","2,2 + 8",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,HB-Sebaldsbrück - Bremen Rbf,zweigleisig,Hauptbahn, , ,,
65,xka_mrk_830,1402,0,2,100010085,100010087,"0,1 + 85","0,1 + 87",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Bremen-Hastedt - Bremen-Vahr,eingleisig,Hauptbahn, , ,,
66,xka_mrk_830,1402,1,1450,100010087,100160038,"0,1 + 87","1,6 + 38",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Bremen-Hastedt - Bremen-Vahr,zweigleisig,Hauptbahn, , ,,
67,xka_mrk_830,1404,1,256,100580001,100600057,"5,8 + 1","6,0 + 57",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Abzw HB Gabelung - Sagehorn,zweigleisig,Hauptbahn, , ,,
68,xka_mrk_830,1404,1,743,100600057,100680000,"6,0 + 57","6,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Abzw HB Gabelung - Sagehorn,zweigleisig,Hauptbahn, , ,,
69,xka_mrk_830,1500,1,272,104460051,104490023,"44,6 + 51","44,9 + 23",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Oldenburg - Bremen,zweigleisig,Hauptbahn, , ,,
70,xka_mrk_830,1500,0,264,104490023,104510087,"44,9 + 23","45,1 + 87",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Oldenburg - Bremen,eingleisig,Hauptbahn, , ,,
71,xka_mrk_830,1700,1,90,117630000,117630090,"176,3 + 0","176,3 + 90",Oberleitung,Pz-Bahn,ab 50 bis 100 km/h,Hannover - Hamm (Westf),zweigleisig,Hauptbahn, , ,,
72,xka_mrk_830,1705,1,1137,99999988,100110026,"-0,0 + -11","1,1 + 26",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover Hbf - Seelze Pbf,zweigleisig,Hauptbahn, , ,,
73,xka_mrk_830,1705,1,6,100110026,100110032,"1,1 + 26","1,1 + 32",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Hannover Hbf - Seelze Pbf,zweigleisig,Hauptbahn, , ,,
74,xka_mrk_830,1710,1,616,103900025,103960041,"39,0 + 25","39,6 + 41",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Celle,zweigleisig,Hauptbahn, , ,,
75,xka_mrk_830,1711,1,403,100380097,100430000,"3,8 + 97","4,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,H-Hainholz - Bremervörde,zweigleisig,Hauptbahn, , ,,
76,xka_mrk_830,1711,1,253,100430000,100450053,"4,3 + 0","4,5 + 53",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,H-Hainholz - Bremervörde,zweigleisig,Hauptbahn, , ,,
77,xka_mrk_830,1720,1,358,101620046,101660004,"16,2 + 46","16,6 + 4",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
78,xka_mrk_830,1720,1,22,101660004,101660026,"16,6 + 4","16,6 + 26",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
79,xka_mrk_830,1720,1,656,104200058,104270014,"42,0 + 58","42,7 + 14",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
80,xka_mrk_830,1720,1,485,104270014,104310099,"42,7 + 14","43,1 + 99",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
81,xka_mrk_830,1720,1,749,104310099,104390048,"43,1 + 99","43,9 + 48",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
82,xka_mrk_830,1720,1,928,116650075,116750003,"166,5 + 75","167,5 + 3",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
83,xka_mrk_830,1720,1,1078,116750003,116850081,"167,5 + 3","168,5 + 81",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Lehrte - Cuxhaven,zweigleisig,Hauptbahn, , ,,
84,xka_mrk_830,1730,1,493,101680005,101720098,"16,8 + 5","17,2 + 98",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn, , ,,
85,xka_mrk_830,1730,1,1196,101720098,101840094,"17,2 + 98","18,4 + 94",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn, , ,,
86,xka_mrk_830,1730,1,706,101840094,101920000,"18,4 + 94",19.2 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn, ,Überlängenanfang,,
87,xka_mrk_830,1730,1,232,101920000,101920232,19.2 +     0,"19,2 + 232",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn,Überlängenanfang, ,,
88,xka_mrk_830,1730,1,56,101920232,101940088,"19,2 + 232",19.4 +    88,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn, ,Überlängenende,,
89,xka_mrk_830,1730,1,1112,101940088,102060000,19.4 +    88,"20,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Braunschweig,zweigleisig,Hauptbahn,Überlängenende, ,,
90,xka_mrk_830,1732,0,379,100360060,100400039,"3,6 + 60","4,0 + 39",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Kassel,eingleisig,Hauptbahn, , ,,
91,xka_mrk_830,1732,1,399,100400039,100440038,"4,0 + 39","4,4 + 38",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Kassel,zweigleisig,Hauptbahn, , ,,
92,xka_mrk_830,1732,1,9962,100440038,101440000,"4,4 + 38",14.4 +     0,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Kassel,zweigleisig,Hauptbahn, ,Überlängenanfang,,
93,xka_mrk_830,1732,1,115,101440000,101450000,14.4 +     0,"14,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Kassel,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
94,xka_mrk_830,1732,1,1479,115630021,115780000,"156,3 + 21","157,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Hannover - Kassel,zweigleisig,Hauptbahn, , ,,
95,xka_mrk_830,1732,1,2200,115780000,116000000,"157,8 + 0",160.0 +     0,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Kassel,zweigleisig,Hauptbahn, ,Überlängenanfang,,
96,xka_mrk_830,1732,1,185,116000000,116010085,160.0 +     0,160.1 +    85,Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Kassel,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
97,xka_mrk_830,1732,1,52,116010085,116020037,160.1 +    85,"160,2 + 37",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Hannover - Kassel,zweigleisig,Hauptbahn,Überlängenende, ,,
98,xka_mrk_830,1740,1,887,112910000,112990087,"129,1 + 0","129,9 + 87",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
99,xka_mrk_830,1740,1,513,112990087,113050000,"129,9 + 87","130,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
100,xka_mrk_830,1740,1,320,118000000,118030020,"180,0 + 0","180,3 + 20",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
101,xka_mrk_830,1740,1,1380,118030020,118170000,"180,3 + 20","181,7 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
102,xka_mrk_830,1740,1,650,118350051,118420000,"183,5 + 51","184,2 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
103,xka_mrk_830,1740,1,979,118420000,118510079,"184,2 + 0","185,1 + 79",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
104,xka_mrk_830,1740,1,523,119020020,119070043,"190,2 + 20","190,7 + 43",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
105,xka_mrk_830,1740,1,160,119070043,119090003,"190,7 + 43","190,9 + 3",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, , ,,
106,xka_mrk_830,1740,1,2497,119090003,119340000,"190,9 + 3",193.4 +     0,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn, ,Überlängenanfang,,
107,xka_mrk_830,1740,1,604,119340000,119350045,193.4 +     0,193.5 +    45,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Bremerhaven,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
108,xka_mrk_830,1750,1,994,100240006,100340000,"2,4 + 6",3.4 +     0,Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, ,Überlängenanfang,,
109,xka_mrk_830,1750,1,263,100340000,100360050,3.4 +     0,3.6 +    50,Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
110,xka_mrk_830,1750,1,411,100360050,100400061,3.6 +    50,"4,0 + 61",Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Überlängenende, ,,
111,xka_mrk_830,1750,1,581,100790017,100840098,"7,9 + 17","8,4 + 98",Oberleitung,Gz-Bahn,ab 100 bis 120 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, , ,,
112,xka_mrk_830,1750,1,5160,100840098,101360058,"8,4 + 98","13,6 + 58",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, , ,,
113,xka_mrk_830,1750,1,1142,101360058,101480000,"13,6 + 58",14.8 +     0,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, ,Überlängenanfang,,
114,xka_mrk_830,1750,1,30,101480000,101480030,14.8 +     0,14.8 +    30,Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Überlängenanfang,Fehllänge ankommend,,
115,xka_mrk_830,1750,1,112,101480030,101490000,14.8 +    30,"14,9 + 0",Oberleitung,Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
116,xka_mrk_830,1750,1,314,103850016,103880030,"38,5 + 16","38,8 + 30",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, , ,,
117,xka_mrk_830,1750,1,2091,103880030,104090025,"38,8 + 30","40,9 + 25",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, , ,,
118,xka_mrk_830,1750,1,75,104090025,104100000,"40,9 + 25",41.0 +     0,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn, ,Überlängenanfang,,
119,xka_mrk_830,1750,1,180,104100000,104110080,41.0 +     0,41.1 +    80,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
120,xka_mrk_830,1750,1,373,104110080,104150053,41.1 +    80,"41,5 + 53",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wunstorf - Lehrte,zweigleisig,Hauptbahn,Überlängenende, ,,
