"nameCompany","streetAddress","postalCode","addressLocality"
"Total","Peniger Str. 40","04654","Frohburg"
"Total","Peniger Str. 40","04654","Frohburg"
"Total","Chemnitzer Str. 28F","09648","Mittweida"
"Total","Chemnitzer Str. 28F","09648","Mittweida"
"Total","Kleinschirmaer Str. 1","09599","Freiberg"
"Total","Kleinschirmaer Str. 1","09599","Freiberg"
"Total","Sonnenstr. 7","09648","Mittweida"
"Total","Sonnenstr. 7","09648","Mittweida"
"Total","Frankenberger Str. 56","09661","Hainichen"
"Total","Frankenberger Str. 56","09661","Hainichen"
"Total","An Der B 87","06628","Bad Koesen"
"Total","An Der B 87","06628","Bad Koesen"
"Total","Peniger Str. 1B","04643","Geithain"
"Total","Peniger Str. 1B","04643","Geithain"
"Total","Am Wilhelmsschacht 34","04552","Borna"
"Total","Am Wilhelmsschacht 34","04552","Borna"
"Total","Leipziger Str. 2F","04552","Borna"
"Total","Leipziger Str. 2F","04552","Borna"
"Total","Max-Planck-Str. 3","06667","Weißenfels"
"Total","Max-Planck-Str. 3","06667","Weißenfels"
"Total","Naumburger Str. 26","06667","Weissenfels"
"Total","Naumburger Str. 26","06667","Weissenfels"
"Total","Reichersdorfer Str. 9","04651","Bad Lausick"
"Total","Reichersdorfer Str. 9","04651","Bad Lausick"
"Total","Merseburger Str. 31B","06632","Freyburg"
"Total","Merseburger Str. 31B","06632","Freyburg"
"Total","Toepelstraße","04746","Hartha"
"Total","Toepelstraße","04746","Hartha"
"Total","Vogelstange 17","04741","Roßwein"
"Total","Vogelstange 17","04741","Roßwein"
"Total","Dresdner Str. 5","01734","Karsdorf"
"Total","Dresdner Str. 5","01734","Karsdorf"
"Total","Fabrikstr. 17","01683","Nossen"
"Total","Fabrikstr. 17","01683","Nossen"
"Total","Baeumchen 15","06667","Weissenfels"
"Total","Baeumchen 15","06667","Weissenfels"
"Total","Muechelner Str. 04","06242","Braunsbedra"
"Total","Muechelner Str. 04","06242","Braunsbedra"
"Total","Dresdner Str. 30O","04720","Doebeln"
"Total","Dresdner Str. 30O","04720","Doebeln"
"Total","Poisentalstr. 18","01705","Freital"
"Total","Poisentalstr. 18","01705","Freital"
"Total","An Der Schmuecke 10","06577","Heldrungen"
"Total","An Der Schmuecke 10","06577","Heldrungen"
"Total","Heiterer Blick 2","04720","Grossweitzschen"
"Total","Heiterer Blick 2","04720","Grossweitzschen"
"Total","Umgehungsstr. 18","01723","Wilsdruff"
"Total","Umgehungsstr. 18","01723","Wilsdruff"
"Total","Bornaische Str. 227","04279","Leipzig"
"Total","Bornaische Str. 227","04279","Leipzig"
"Total","Prager Str. 420","04288","Leipzig"
"Total","Prager Str. 420","04288","Leipzig"
"Total","Kesselsdorfer Str. 214","01169","Dresden"
"Total","Kesselsdorfer Str. 214","01169","Dresden"
"Total","Wuerzburger Str. 26","01187","Dresden"
"Total","Wuerzburger Str. 26","01187","Dresden"
"Total","Dresdner Str. 103a","01809","Heidenau"
"Total","Dresdner Str. 103a","01809","Heidenau"
"Total","Langer Weg 17","01257","Dresden"
"Total","Langer Weg 17","01257","Dresden"
"Total","Arno-Nitzsche Str. 32","04277","Leipzig"
"Total","Arno-Nitzsche Str. 32","04277","Leipzig"
"Total","Thomas-Muentzer-Str. 5","06217","Merseburg"
"Total","Thomas-Muentzer-Str. 5","06217","Merseburg"
"Total","Prager Str. 179","04299","Leipzig"
"Total","Prager Str. 179","04299","Leipzig"
"Total","Wiener Str. 39","01069","Dresden"
"Total","Wiener Str. 39","01069","Dresden"
"Total","Zschochersche Str. 84","04229","Leipzig"
"Total","Zschochersche Str. 84","04229","Leipzig"
"Total","Bodenbacher Str. 64","01277","Dresden"
