"nameCompany","streetAddress","postalCode","addressLocality"
"ALDI SÜD","Am Alten Bach 16c","41470","Neuss"
"ALDI SÜD","Kündgensweg 2","40231","Düsseldorf"
"ALDI SÜD","Harffstr. 24","40591","Düsseldorf"
"Aldi Süd","Kölner Tor 16-18","40625","Düsseldorf"
"ALDI SÜD","Ruhrstr. 40","41469","Neuss"
"ALDI SÜD","Erkrather Str. 248","40233","Düsseldorf"
"ALDI SÜD","Oberbilker Allee 237","40227","Düsseldorf"
"ALDI SÜD","Am Weinhaus 15","40882","Ratingen"
"ALDI SÜD","Gaußstr. 24","40235","Düsseldorf"
"ALDI SÜD","Aachener Str. 126","40223","Düsseldorf"
"ALDI SÜD","Aachener Str. 70A","40223","Düsseldorf"
"ALDI SÜD","Friedrichstr. 129-133","40217","Düsseldorf-Unterbilk"
"ALDI SÜD","Krahe Str. 1","40233","Düsseldorf"
"ALDI SÜD","Lindenstr. 57","41515","Grevenbroich"
"ALDI SÜD","Zur Wassermühle 4","41517","Grevenbroich"
"ALDI SÜD","Fleher Str. 40","40223","Düsseldorf"
"ALDI SÜD","Marktplatz 9","41516","Grevenbroich/Wevelinghoven-Wevelinghoven"
"ALDI SÜD","Königsallee 106","40215","Düsseldorf"
"ALDI SÜD","Schadowstr. 93","40212","Düsseldorf"
"ALDI SÜD","Ahnfeldstr. 2-10","40239","Düsseldorf"
"ALDI SÜD","Deutsch-Ritter-Allee 50","41515","Grevenbroich"
"ALDI SÜD","Duisburger Str. 24","40477","Düsseldorf"
"ALDI SÜD","Vogelsanger Weg 33","40470","Düsseldorf"
"ALDI SÜD","Münsterstr. 62","40476","Düsseldorf"
"ALDI SÜD","Maximilianstr. 4","41472","Neuss"
"ALDI SÜD","Bochumer Str. 41","40472","Düsseldorf-Rath"
"ALDI SÜD","Düsseldorfer Str. 29","41515","Grevenbroich"
"ALDI SÜD","Heiligenhauser Str. 6","40883","Ratingen-Hösel"
"Aldi Süd","Calor-Emag-Str. 2","40878","Ratingen"
"ALDI SÜD","Holzheimer Weg 44","41464","Neuss"
"ALDI SÜD","Oberstr. 93","41460","Neuss"
"ALDI SÜD","Hansa-Allee 10-12","40547","Düsseldorf-Oberkassel"
"ALDI SÜD","An der Piwipp 86","40468","Düsseldorf"
"ALDI SÜD","Jenaer Str. 15","40880","Ratingen"
"ALDI SÜD","Wolberostr. 9","41462","Neuss"
"Aldi Süd","Kalkumer Str. 134-138","40468","Düsseldorf"
