X,Y,OBJECTID,EVA_NR,DS100,IFOPT,NAME,VERKEHR,LAENGE,BREITE,STATUS
7.354507000219502,52.97056800007006,1047,8001486,HDPH,de:03454:8206,Dörpen,nur DPN,7.354507,52.970568,
9.246334000138955,52.846406999943625,1048,8001489,HDVD,de:03361:22104,Dörverden,RV,9.246334,52.846407,
8.167355999574296,47.608887000200923,1049,8001491,RDRN,de:08337:6686,Dogern,RV,8.167356,47.608887,
10.181657000253585,52.417152999916276,1050,8001492,HDOG,de:03241:9254,Dollbergen,nur DPN,10.181657,52.417153,
9.558080000347001,53.54542500017822,1051,8001493,ADR,de:03359:8001493,Dollern,RV,9.55808,53.545425,
11.079009000232707,48.871425000291751,1052,8001495,MDO,de:09176:8290,Dollnstein,RV,11.079009,48.871425,
12.159685999765562,48.26704800011958,1053,8001499,MDFN,de:09177:3656,Dorfen Bahnhof,RV,12.159686,48.267048,
9.771305000127855,52.899139000019304,1054,8001502,HDMK,de:03358:20977,Dorfmark,nur DPN,9.771305,52.899139,
9.382159999631504,49.779376999987981,1055,8001503,NDP,de:09676:99306,Dorfprozelten,RV,9.38216,49.779377,
8.790509999881602,50.352702000162303,1056,8001504,FDH,de:06440:11176,Dorheim(Wetterau),RV,8.79051,50.352702,
7.402352999711993,51.532623000002538,1057,8001505,EDOH,de:05913:726,Dortmund-Huckarde,RV,7.402353,51.532623,
6.814837000187217,51.099494999917724,1058,8001506,KDO,de:05162:20268,Dormagen,RV,6.814837,51.099495,
6.838171000203647,51.077045000180533,1059,8001507,"KDBW,KDBWN",de:05162:20280,Dormagen Chempark,RV,6.838171,51.077045,
8.493656000060801,49.877507000268729,1060,8001511,FDOH,de:06433:6899,Groß Gerau-Dornheim,RV,8.493656,49.877507,
8.494954999894235,48.472105999826702,1061,8001512,TDS,de:08237:4001,Dornstetten,RV,8.494955,48.472106,
8.751145000376377,50.207502999733542,1062,8001514,FDW,de:06440:4499,Dortelweil,RV,8.751145,50.207503,
7.536563999901936,51.538372999732225,1063,8001515,EDSH,de:05913:162,Dortmund-Scharnhorst,RV,7.536564,51.538373,
7.537457999679432,51.51876800010659,1064,8001517,EDKK,de:05913:670,Dortmund Knappschaftskrankenhaus,RV,7.537458,51.518768,
7.45170600034871,51.507156999827757,1065,8001518,EDMB,de:05913:352,Dortmund Möllerbrücke,RV,7.451706,51.507157,
7.377730999732753,51.561494999999638,1066,8001519,EDOO,de:05913:742,Dortmund-Nette/Oestrich,RV,7.377731,51.561495,
7.468763999684398,51.507827999912791,1067,8001520,EDST,de:05913:132,Dortmund Stadthaus,RV,7.468764,51.507828,
7.46199499998245,51.478193000176269,1068,8001521,EDTP,de:05913:701,Dortmund Tierpark,RV,7.461995,51.478193,
7.457572999877245,51.490727999953513,1069,8001522,EDWH,de:05913:705,Dortmund Signal Iduna Park,RV,7.457573,51.490728,
7.553188999592554,51.490151000069517,1070,8001523,EDAP,de:05913:38,Dortmund-Aplerbeck,RV,7.553189,51.490151,
