"plz","intensivkliniken","land","krs"
55590,1,"RP",7133
55743,1,"RP",7134
56073,1,"RP",7111
56112,1,"RP",7141
56428,1,"RP",7143
56626,1,"RP",7137
56856,1,"RP",7135
57072,2,"NW",5970
57610,1,"RP",7132
58313,1,"NW",5954
58638,1,"NW",5962
58675,1,"NW",5962
58840,1,"NW",5962
59227,1,"NW",5570
59269,1,"NW",5570
59457,1,"NW",5974
59494,1,"NW",5974
59555,1,"NW",5974
60316,1,"HE",6412
61231,1,"HE",6440
63069,1,"HE",6413
63225,1,"HE",6438
63500,1,"HE",6438
64287,1,"HE",6411
64342,1,"HE",6432
64625,1,"HE",6431
64646,1,"HE",6431
64711,1,"HE",6437
64732,1,"HE",6437
65189,1,"HE",6414
65197,1,"HE",6414
65199,1,"HE",6414
65385,1,"HE",6439
65929,1,"HE",6412
66111,1,"SL",10041
66119,1,"SL",10041
66538,1,"SL",10043
66663,1,"SL",10042
66679,1,"SL",10042
66955,1,"RP",7317
67269,1,"RP",7332
67550,1,"RP",7319
68167,1,"BW",8222
68723,1,"BW",8226
69126,1,"BW",8221
69469,1,"BW",8226
70174,2,"BW",8111
70176,1,"BW",8111
70199,2,"BW",8111
70372,1,"BW",8111
70376,1,"BW",8111
70794,1,"BW",8116
71640,1,"BW",8118
72076,2,"BW",8416
72250,1,"BW",8237
72764,1,"BW",8415
73035,2,"BW",8117
73230,1,"BW",8116
73430,1,"BW",8136
73557,1,"BW",8136
73730,1,"BW",8116
73760,1,"BW",8116
74078,1,"BW",8121
75175,1,"BW",8231
75179,1,"BW",8231
76199,1,"BW",8212
76307,1,"BW",8215
76726,1,"RP",7334
76829,1,"RP",7313
76829,1,"RP",7337
76870,1,"RP",7334
78052,2,"BW",8326
78224,1,"BW",8335
78464,1,"BW",8335
79106,1,"BW",8311
79110,1,"BW",8311
80336,2,"BY",9162
80337,1,"BY",9162
80638,1,"BY",9162
80639,1,"BY",9162
81241,1,"BY",9162
81375,1,"BY",9162
81377,1,"BY",9162
81675,1,"BY",9162
82131,1,"BY",9188
82418,1,"BY",9180
83646,1,"BY",9173
84036,1,"BY",9261
84036,1,"BY",9274
84307,1,"BY",9277
85072,1,"BY",9176
86156,1,"BY",9761
86381,1,"BY",9774
86399,1,"BY",9772
86529,1,"BY",9185
86633,1,"BY",9185
86637,1,"BY",9773
