X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
16.533333333493925,57.73333333337402,2292,25050,24975,VERKEBACK,SE,57.733333,16.533333,57,44,N,16,32,E,194,44160/1,V,CN,G,N,N,N,Y,Y,M,A,P, ,0,M, ,N,N,N,Y,Y, ,Y, ,N,N, , , , , , , , ,Y,Y,Y, , , , , , ,N,Y, , , , , ,Y, , , , , ,Y,Y,Y, , , , , , 
16.649999999928077,57.766666666705817,2293,25060,24975,VASTERVIK,SE,57.766667,16.65,57,46,N,16,39,E,194,44160,S,CB,E,N,N, ,Y,Y,O,K,N,L,0,M,Y, ,N,N,Y,Y,Y,Y, ,N,Y, ,Y, , , ,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y, , ,Y,Y,Y,Y, , , , , ,Y,Y, , , , , ,S
16.200000000439889,58.583333333248589,2294,25190,24975,NORRKOPING,SE,58.583333,16.2,58,35,N,16,12,E,194,44162/0,M,RN,G,N,N, ,Y,Y,L,D,N,N,0,M,Y, ,Y,N,Y,Y,Y, ,Y,Y,Y, ,Y, , , ,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,N,Y,Y, ,Y, ,Y,Y,Y, , , , , ,Y,Y, , , ,C,S,M
17.116666666563081,58.666666666554363,2295,25280,24975,OXELOSUND,SE,58.666667,17.116667,58,40,N,17,7,E,194,44164,S,CN,G,N,N,Y,Y,Y,N,G,J,H,0,M, , ,Y,N,Y,Y,Y, , , ,Y, ,Y, , , ,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y, , , ,Y,Y,Y, , , ,Y,Y,Y,Y, , , ,C, ,S
17.016666666377354,58.750000000108734,2296,25290,24975,NYKOPING,SE,58.75,17.016667,58,45,N,17,1,E,194,44160,S,RB,G,N,N,Y,Y,Y,K,N,N, ,0,M,Y, ,Y,N,Y,Y,Y, ,Y, ,Y, ,Y, , , ,Y, ,Y,Y,Y,Y, , , ,Y, , ,Y, ,Y, , ,Y, ,Y,Y,N,N,N,N,Y,Y,Y, ,N,N,C, ,S
17.649999999988509,59.183333333207067,2297,25320,24975,SODERTALJE,SE,59.183333,17.65,59,11,N,17,39,E,194,44192,S,LC,G,N,N,Y,Y,Y,L,L,L,M,0,M,Y,N,N, ,Y,Y,Y,Y, , ,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y,Y, , , ,Y,Y, ,N,Y, , , , ,Y,Y,Y, , , ,Y, ,Y,Y, , , ,C, ,M
17.966666666794083,58.899999999919821,2298,25330,24975,NYNASHAMN,SE,58.9,17.966667,58,54,N,17,58,E,194,44178,S,CN,E,N,N,N,Y, ,G,L, ,J,0,M, , ,Y,N,Y,Y,Y, , , ,Y, ,Y, , , ,Y, , ,Y,Y,Y, , , , , , ,Y,Y, , , , ,Y, ,Y, , , , , ,Y,Y,Y, ,Y,C, , 
-71.066666666589043,9.783333333588203,2299,11980,11950,SAN LORENZO,VE,9.783333,-71.066667,9,47,N,71,4,W,148,24481,V,LC,F,N,N,N,Y,Y,J,K, ,K,1,L, ,Y, , ,Y,Y, , , , ,Y,Y, ,Y, , ,Y, , , ,Y, , , , , , , ,Y,Y, , , , , ,Y,Y, , ,Y,Y, ,Y, , , , ,C, , 
-71.583333333766021,10.783333333745553,2300,12032,11950,PUNTA DE PALMAS,VE,10.783333,-71.583333,10,47,N,71,35,W,148,24484/2,V,LC,F,N,N,N,Y,N,H, , ,H,1,L, ,Y, , ,Y,Y,Y, , , ,Y,Y, , , , ,Y,Y,Y, ,Y,Y,Y, , , , , ,N, , , , , , , ,Y, , , , , ,Y,Y,Y, , ,C,S, 
-71.633333333409723,10.516666666591812,2301,12034,11950,BAJO GRANDE,VE,10.516667,-71.633333,10,31,N,71,38,W,148,24482,V,LC,F,N,N,N,Y,N,H, , ,H,1,L, ,Y, , ,Y,Y,Y,Y,Y, ,Y,Y, ,Y, , ,Y,Y,Y, ,Y,Y, , , , , , ,Y, , , , , , , ,Y, , , , , ,Y,Y, , , ,C, , 
